method,x,approx,exact,abs_error,rel_error
Euler,0,1,1,0,0
Euler,0.01,0.98999999999999999,0.99024444691470725,0.00024444691470726365,0.00024691607546188248
Euler,0.02,0.98048824519412758,0.9809564493129993,0.00046820411887171787,0.00047752139933000197
Euler,0.029999999999999999,0.97143278041794467,0.97210585577377528,0.00067307535583061018,0.00069286868777583294
Euler,0.040000000000000001,0.96280412193977194,0.96366480784459962,0.00086068590482768492,0.00089393666397444543
Euler,0.050000000000000003,0.95457503041724845,0.95560753324945391,0.0010325028322054619,0.0010816361200587353
Euler,0.060000000000000005,0.94672030842175459,0.94791016105957826,0.001189852637823674,0.001256815373282989
Euler,0.070000000000000007,0.93921661946717017,0.94055055613761462,0.0013339366704444577,0.0014202651899422494
Euler,0.080000000000000002,0.93204232590962566,0.93350817053646107,0.0014658446268354108,0.001572723240229269
Euler,0.089999999999999997,0.92517734344828195,0.92676390984875467,0.001586566400472722,0.0017148781384543408
Euler,0.099999999999999992,0.91860301026507096,0.92030001277020212,0.0016970025051311621,0.0018473731156633997
Euler,0.10999999999999999,0.91230196910299544,0.91409994236777359,0.0017979732647781521,0.0019708093653968291
Euler,0.11999999999999998,0.906258060805607,0.90814828773848866,0.0018902269328816557,0.0020857490980012486
Euler,0.12999999999999998,0.90045622803088621,0.90243067491138085,0.0019744468804946402,0.002192718334362962
Euler,0.13999999999999999,0.89488242801609652,0.89693368598856515,0.0020512579724686342,0.0022922094660146101
Euler,0.14999999999999999,0.88952355341052858,0.89164478564484395,0.0021212322343153733,0.0023846836052652475
Euler,0.16,0.88436736031393881,0.88655225421188288,0.0021848938979440735,0.0024705727461136343
Euler,0.17000000000000001,0.87940240276286885,0.88164512666527672,0.0022427239024078727,0.0025502817542478605
Euler,0.18000000000000002,0.87461797299736987,0.87691313691287587,0.0022951639155059933,0.0026241902023123589
Euler,0.19000000000000003,0.87000404691902733,0.87234666685232176,0.002342619933294432,0.0026926540647603026
Euler,0.20000000000000004,0.86555123421931113,0.86793669972638954,0.0023854655070784103,0.0027560072850337908
Euler,0.21000000000000005,0.86125073271663899,0.86367477735765263,0.0024240446410136451,0.0028145632263992309
Euler,0.22000000000000006,0.85709428649236796,0.85955296089031619,0.002458674397948224,0.0028686160165765115
Euler,0.23000000000000007,0.85307414746127319,0.85556379470764199,0.002489647246368798,0.0029184417952154854
Euler,0.24000000000000007,0.84918304005181811,0.85170027322906172,0.0025172331772436163,0.0029642998723691089
Euler,0.25000000000000006,0.84541412870643162,0.84795581032242795,0.0025416816159963274,0.0030064338052705072
Euler,0.26000000000000006,0.8417609879427268,0.84432421109452804,0.0025632231518012416,0.0030450724000238923
Euler,0.27000000000000007,0.83821757474367387,0.84079964584739775,0.0025820711037238819,0.0030804306441719227
Euler,0.28000000000000008,0.83477820306865691,0.83737662600958074,0.002598422940923828,0.0031127105755420865
Euler,0.29000000000000009,0.8314375202985006,0.83404998187062762,0.0026124615721270228,0.0031421020922764026
Euler,0.3000000000000001,0.82819048544630114,0.83081484196412536,0.0026243565178242223,0.0031687837085087865
Euler,0.31000000000000011,0.82503234898253897,0.82766661395965002,0.002634264977111056,0.0031929232597482158
Euler,0.32000000000000012,0.82195863413774584,0.82460096693750184,0.0026423327997560087,0.0032146785616868406
Euler,0.33000000000000013,0.81896511955917772,0.82161381493206931,0.0026486953728915852,0.0032341980258173775
Euler,0.34000000000000014,0.81604782320969305,0.81870130164039745,0.0026534784307044035,0.0032516212349757855
Euler,0.35000000000000014,0.81320298740753627,0.81585978620212041,0.0026567987945841365,0.003267079481660442
Euler,0.36000000000000015,0.81042706491511562,0.81308582996550327,0.0026587650503876459,0.0032806962717442387
Euler,0.37000000000000016,0.8077167059932765,0.8103761841620527,0.0026594781687762081,0.0032925877959968132
Euler,0.38000000000000017,0.8050687463451196,0.80772777841907273,0.002659032073953127,0.00330286337163714
Euler,0.39000000000000018,0.8024801958801937,0.80513771004577184,0.0026575141655781342,0.0033116258559667783
Euler,0.40000000000000019,0.79994822823599299,0.80260323403413636,0.0026550057981433728,0.0033189720339753272
Euler,0.4100000000000002,0.79747017099918283,0.8001217537208517,0.002651582721668877,0.0033249929816767955
Euler,0.42000000000000021,0.79504349657393636,0.7976908120611097,0.0026473154871733406,0.0033297744067857416
Euler,0.43000000000000022,0.79266581364924005,0.7953080834692926,0.0026422698200525563,0.0033333969682484356
Euler,0.44000000000000022,0.79033485922107438,0.79297136618524677,0.0026365069641723915,0.003335936576011386
Euler,0.45000000000000023,0.78804849112904196,0.79067857512826545,0.002630083999223487,0.003337464672326635
Euler,0.46000000000000024,0.7858046810703383,0.78842773520397047,0.0026230541336321744,0.0033380484957907519
Euler,0.47000000000000025,0.78360150805697548,0.78621697503208576,0.002615466975110281,0.0033377513292382676
Euler,0.48000000000000026,0.7814371522849104,0.78404452106563449,0.0026073687807240953,0.0033366327325238996
Euler,0.49000000000000027,0.77930988938622037,0.78190869207441394,0.0025988026881935689,0.0033347487611640214
Euler,0.50000000000000022,0.77721808503774104,0.77980789396771133,0.0025898089299702942,0.0033321521717350868
Euler,0.51000000000000023,0.77516018990164937,0.77774061493315527,0.0025804250315059063,0.003328892614871392
Euler,0.52000000000000024,0.77313473487536344,0.77570542087035466,0.0025706859949912175,0.00332501681664275
Euler,0.53000000000000025,0.77114032662985776,0.77370095109959214,0.0025606244697343739,0.0033205687490435922
Euler,0.54000000000000026,0.76917564341706912,0.77172591432730919,0.0025502709102400711,0.0033155897902727026
Euler,0.55000000000000027,0.76723943112851356,0.7697790848514785,0.0025396537229649407,0.0033101188754459956
Euler,0.56000000000000028,0.76533049958855814,0.76785929899118666,0.0025287994026285121,0.0033041926383281408
Euler,0.57000000000000028,0.76344771906700581,0.76596545172590258,0.0025177326588967652,0.0032978455446479502
Euler,0.58000000000000029,0.76159001699676576,0.76409649353093978,0.0025064765341740181,0.0032911100175104608
Euler,0.5900000000000003,0.75975637488340597,0.76225142739658924,0.0024950525131832713,0.003284016555394047
Euler,0.60000000000000031,0.75794582539432664,0.76042930601928449,0.0024834806249578456,0.0032765938431889869
Euler,0.61000000000000032,0.75615744961615927,0.75862922915396958,0.0024717795378103036,0.0032688688566978063
