method,x,approx,exact,abs_error,rel_error
Heun,0,1,1,0,0
Heun,0.01,0.99024412259706374,0.99024444691470725,3.2431764351859016E-07,3.2751281842301525E-07
Heun,0.02,0.98095581814070787,0.9809564493129993,6.3117229143205833E-07,6.4342580956232556E-07
Heun,0.029999999999999999,0.97210493438246248,0.97210585577377528,9.2139131280255526E-07,9.4783112420664394E-07
Heun,0.040000000000000001,0.96366361208647511,0.96366480784459962,1.195758124516999E-06,1.2408459855903501E-06
Heun,0.050000000000000003,0.95560607823388999,0.95560753324945391,1.4550155639225792E-06,1.5226102021155791E-06
Heun,0.060000000000000005,0.94790846119069649,0.94791016105957826,1.6998688817659868E-06,1.7932837941236752E-06
Heun,0.070000000000000007,0.940548625149212,0.94055055613761462,1.9309884026208479E-06,2.0530447347307632E-06
Heun,0.080000000000000002,0.9335060215245603,0.93350817053646107,2.1490119007649966E-06,2.3020868116686881E-06
Heun,0.089999999999999997,0.92676155530202986,0.92676390984875467,2.3545467248142771E-06,2.5406176069171694E-06
Heun,0.099999999999999992,0.92029746459849082,0.92030001277020212,2.5481717113029489E-06,2.768856602701465E-06
Heun,0.10999999999999999,0.91409721192886673,0.91409994236777359,2.730438906861643E-06,2.9870334043575669E-06
Heun,0.11999999999999998,0.90814538586336258,0.90814828773848866,2.9018751260823095E-06,3.1953860816278142E-06
Heun,0.12999999999999998,0.90242761192800802,0.90243067491138085,3.0629833728257339E-06,3.394159633792418E-06
Heun,0.13999999999999999,0.89693047174443663,0.89693368598856515,3.2142441285243351E-06,3.5836045599754952E-06
Heun,0.14999999999999999,0.89164142952830638,0.89164478564484395,3.3561165375672886E-06,3.7639755471464933E-06
Heun,0.16,0.88654876517238901,0.88655225421188288,3.4890394938758007E-06,3.9355302617756834E-06
Heun,0.17000000000000001,0.88164151323263507,0.88164512666527672,3.613432641658143E-06,4.0985282424021716E-06
Heun,0.18000000000000002,0.87690940721557065,0.87691313691287587,3.7296973052214355E-06,4.2532298941395254E-06
Heun,0.19000000000000003,0.87234282863497314,0.87234666685232176,3.8382173486173343E-06,4.3998955715877326E-06
Heun,0.20000000000000004,0.86793276036640832,0.86793669972638954,3.9393599812198588E-06,4.5387847551195209E-06
Heun,0.21000000000000005,0.86367074388114662,0.86367477735765263,4.0334765060157096E-06,4.6701553046594493E-06
Heun,0.22000000000000006,0.85954883998729004,0.85955296089031619,4.1209030261502022E-06,4.7942627974591152E-06
Heun,0.23000000000000007,0.8555595927465367,0.85556379470764199,4.2019611052879213E-06,4.9113599343777926E-06
Heun,0.24000000000000007,0.85169599627066639,0.85170027322906172,4.2769583953328194E-06,5.0216960207167806E-06
