method,x,approx,exact,abs_error,rel_error
RungeKutta4,0,1,1,0,0
RungeKutta4,0.01,0.99024444691548374,0.99024444691470725,7.7648998342283448E-13,7.8413969989079576E-13
RungeKutta4,0.02,0.9809564493144447,0.9809564493129993,1.4453993557594913E-12,1.473459251702386E-12
RungeKutta4,0.029999999999999999,0.97210585577579101,0.97210585577377528,2.0157209235094342E-12,2.0735611369204067E-12
RungeKutta4,0.040000000000000001,0.96366480784709474,0.96366480784459962,2.4951152255425768E-12,2.589194090336106E-12
RungeKutta4,0.050000000000000003,0.95560753325234538,0.95560753324945391,2.8914648453337577E-12,3.0257869938434385E-12
RungeKutta4,0.060000000000000005,0.94791016106279002,0.94791016105957826,3.2117641879381154E-12,3.3882580015147305E-12
RungeKutta4,0.070000000000000007,0.94055055614107763,0.94055055613761462,3.4630076584107883E-12,3.6818942222722534E-12
RungeKutta4,0.080000000000000002,0.93350817054011204,0.93350817053646107,3.6509684164798273E-12,3.9110192408572482E-12
RungeKutta4,0.089999999999999997,0.92676390985253687,0.92676390984875467,3.7821967779905208E-12,4.0810790512896962E-12
RungeKutta4,0.099999999999999992,0.92030001277406392,0.92030001277020212,3.8617997688561445E-12,4.19624004699892E-12
RungeKutta4,0.10999999999999999,0.91409994237166781,0.91409994236777359,3.8942182811751991E-12,4.2601668599513295E-12
RungeKutta4,0.11999999999999998,0.90814828774237411,0.90814828773848866,3.8854475192806603E-12,4.2784285030584061E-12
RungeKutta4,0.12999999999999998,0.90243067491521967,0.90243067491138085,3.8388181522464038E-12,4.2538648773292725E-12
RungeKutta4,0.13999999999999999,0.89693368599232415,0.89693368598856515,3.758993116775855E-12,4.1909376082994211E-12
RungeKutta4,0.14999999999999999,0.8916447856484937,0.89164478564484395,3.6497471711527396E-12,4.093274844307284E-12
RungeKutta4,0.16,0.88655225421539685,0.88655225421188288,3.513966895241083E-12,3.9636320121378081E-12
RungeKutta4,0.17000000000000001,0.88164512666863237,0.88164512666527672,3.3556490919295356E-12,3.8061222031693498E-12
RungeKutta4,0.18000000000000002,0.8769131369160531,0.87691313691287587,3.177236251872273E-12,3.6232052162498621E-12
RungeKutta4,0.19000000000000003,0.87234666685530382,0.87234666685232176,2.9820590441431705E-12,3.4184334708277216E-12
RungeKutta4,0.20000000000000004,0.86793669972916154,0.86793669972638954,2.7720048478840909E-12,3.1937868841691926E-12
RungeKutta4,0.21000000000000005,0.86367477736020237,0.86367477735765263,2.5497381983541345E-12,2.9521971292797705E-12
